Source,Target,Weight
KevinMc1981,gbrough10,1
KevinPascoe,ara8ara,1
KimBrew65,gbrough10,1
KimberA777,gbrough10,1
Kimberl88150628,gbrough10,1
KimberlyVerdui3,gbrough10,1
Kingtim101,gbrough10,1
KistnerMarcia,Tam_Resist,1
KnowsSuggests,gbrough10,1
KoonsKarl,Tam_Resist,1
KozlowRick,gbrough10,1
Kraven_Raven24,Tam_Resist,1
Krickette01,ddanpereira,1
KyleTay91895683,gbrough10,1
LIBSRFUKD,gbrough10,1
LJohn_57,gbrough10,1
LMe22iah,gbrough10,1
LSJA_1776,gbrough10,1
LSetmire,gbrough10,1
Lacislady,gbrough10,1
Ladude2014,gbrough10,1
LadyFaye7,gbrough10,1
Lar78507177,gbrough10,1
Larsofhaus1,gbrough10,1
LatinoHeat217,gbrough10,1
LauraQuick,gbrough10,1
Laurelily63,gbrough10,1
LawrenceBelli5,gbrough10,1
LeCringeH,Minecraft,1
Leonard90835958,gbrough10,1
Leong48MSC,Tam_Resist,1
LibertyMimi1776,gbrough10,1
Lillulu24449289,gbrough10,1
Lilolady3,GeorgeMonbiot,1
LindaBarringt20,gbrough10,1
LindaCollins11,haaohaoo,1
LindaHeartofTX,gbrough10,1
LindaSN0228WI,7im,1
LindaSN0228WI,ryanbort,1
Linette4me,RollingStone,1
Linfield1641,gbrough10,1
LiquorStork,1206geauxtigers,1
LiquorStork,BeckyRae12345,1
LiquorStork,PJPNIG,1
Lisa39203987,gbrough10,1
LisaMandelblatt,JoannaGagisNJ,1
LisaMandelblatt,NJSpotlightNews,1
LisaMandelblatt,PhilMurphyNJ,1
LisaMandelblatt,mscohen19,1
LiveFreeOrDie2A,gbrough10,1
LlynnBarr,gbrough10,1
Locou9,Tam_Resist,1
LoganHeth,benshapiro,1
LoganHeth,joshdcaplan,1
LoisDStone1,gbrough10,1
Lola36405979,gbrough10,1
LongTimeAmy,Tam_Resist,3
Longie2,gbrough10,1
Lordstorm6,Minecraft,1
Lori87113498,gbrough10,1
LorrieGGriffin,gbrough10,1
Lory16591813,gbrough10,1
Louie16356393,gbrough10,1
Louie45332318,BigBoa,4
LouiseStandford,gbrough10,1
LovellaStroude,gbrough10,1
Lpmc21,gbrough10,1
Lupitasawyer16,gbrough10,2
Luv_My_Country,gbrough10,2
LynnsTootsie,Tam_Resist,1
MAGA_Charlie_C,gbrough10,1
MBahrenfuss,gbrough10,1
MJB11114,gbrough10,1
MRBREWJACKSTONE,JoannaGagisNJ,1
MRBREWJACKSTONE,NJSpotlightNews,1
MRBREWJACKSTONE,PhilMurphyNJ,1
MRBREWJACKSTONE,mscohen19,1
MTexas0640,gbrough10,1
Mad_Dawg29,gbrough10,1
MamaYiddishe,gbrough10,1
MannerRichard,gbrough10,1
MannyMtorrescop,gbrough10,1
MarianCantwellF,gbrough10,1
Mark05924747,gbrough10,1
Mark78249999,Tam_Resist,1
MarkLar08907865,gbrough10,1
MarkN77647844,gbrough10,1
MarkPensarn,1Fubar,1
Mark____Edwards,RollingStone,1
Marla68983234,gbrough10,1
MarletRoy,gbrough10,1
MarvinrMarvin,gbrough10,1
Mary90725405,gbrough10,1
MaryHofstette17,gbrough10,1
MaryMar26340742,gbrough10,1
MaryQontrary,gbrough10,1
MasterPreston1,Tam_Resist,1
MattCrane_,GeorgeBrauchler,1
MattCrane_,peterboyles710,1
Matthew52802818,gbrough10,1
MatticeKV,gbrough10,1
MaureenShilaly,gbrough10,1
MaxSull97134840,gbrough10,1
Max_Angel,gbrough10,1
Maydog1977,gbrough10,1
McenanyTori,gbrough10,1
MediYoga_ax,Tam_Resist,1
MegsBGood,RollingStone,1
MeisnerActor,7im,1
MeisnerActor,ryanbort,1
Memysel84855778,gbrough10,1
Mess89147186,ActusMondial,1
Mess89147186,jeanletaxe,1
Mgon,ali,1
MichaelCappaghx,gbrough10,1
Michele56431123,gbrough10,1
Michell31025978,gbrough10,1
Mike32434891,gbrough10,1
MikeMor00573750,gbrough10,1
MikeVaden2,gbrough10,1
Mikewad6,gbrough10,1
Mindy63002101,gbrough10,1
MissouriWayward,gbrough10,1
Missthe80sV,gbrough10,1
MissyRight1,gbrough10,1
MobiLibrarian,7im,1
MobiLibrarian,ryanbort,1
Modeerf_4,gbrough10,1
MontanaMann58,gbrough10,1
Montyrk2,AveryHawke8,1
MoreFairytales,gbrough10,1
MoschittoR,gbrough10,1
MrBraggatto,gbrough10,1
MrE88023137,gbrough10,1
MrGreen96385653,AZRed65,1
MrGreen96385653,NancyGo22432376,1
MrGreen96385653,Trumper2020,1
MrGreen96385653,WendyRogersAZ,1
MrGreen96385653,myoldsowell,1
Mrcrucial711,gbrough10,1
Mudcat45,gbrough10,1
MurielVieux,Tam_Resist,2
MyFeelsMyWorld,gbrough10,1
MydoghatesMe2,gbrough10,1
NH410144198,gbrough10,1
NLTCNY,gbrough10,1
NReveillee,Tam_Resist,1
NYCEDUC,Tam_Resist,1
NanaMaryto8,gbrough10,1
NancyRog11,crooksandliars,1
Nat4Democracy,Tam_Resist,1
NatWittee,MusicBombshell,1
NataliPublicola,ParkerMolloy,1
NatalieM1111,gbrough10,1
NathanPersie,gbrough10,1
